Player,Season,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,PTS,BLK,STL
LeBron James,2022-23,55,2078,736,1454,89,289,295,396,1856,44,50
Stephen Curry,2022-23,56,1960,537,1156,273,654,186,204,1533,23,42
Kevin Durant,2022-23,47,1711,561,1098,98,262,330,376,1550,35,31
Giannis Antetokounmpo,2022-23,63,2200,771,1332,68,235,483,691,2093,55,57
Luka Doncic,2022-23,66,2430,723,1555,204,603,396,512,2046,34,95
Joel Embiid,2022-23,66,2238,730,1413,97,278,613,729,2170,99,75
Jayson Tatum,2022-23,74,2752,826,1763,264,710,518,614,2434,52,75
Damian Lillard,2022-23,58,2052,560,1286,229,625,191,213,1540,23,51
Nikola Jokic,2022-23,69,2404,696,1237,81,222,421,495,1894,51,90
Donovan Mitchell,2022-23,68,2362,661,1447,220,606,339,406,1881,28,97
James Harden,2021-22,65,2223,481,1083,162,481,420,512,1544,38,59
Anthony Davis,2021-22,40,1354,358,687,13,47,238,295,967,80,49
Kawhi Leonard,2021-22,52,1688,449,899,83,235,175,210,1156,38,52
Jimmy Butler,2021-22,57,1909,424,841,15,63,341,404,1204,27,91
Devin Booker,2021-22,68,2324,592,1264,134,377,271,306,1589,29,68
Trae Young,2021-22,76,2737,619,1459,217,630,369,425,1824,26,90
Karl-Anthony Towns,2021-22,74,2545,606,1256,208,549,299,349,1719,85,66
DeMar DeRozan,2021-22,76,2756,740,1495,42,146,568,648,2090,26,61
Ja Morant,2021-22,57,1928,519,1039,79,256,297,405,1414,23,63
Kyrie Irving,2021-22,29,1038,305,619,82,215,87,102,779,14,23
